,index,Genre,Type
0,History,5168,Book
1,Fantasy,2945,Book
2,Mystery,2556,Book
3,Adult,2277,Book
4,Romance,1843,Book
5,Biography,1473,Book
6,Thriller,1431,Book
7,Horror,1302,Book
8,Crime,1050,Book
9,Comedy,885,Book
10,Action,714,Book
11,Family,645,Book
12,Adventure,460,Book
13,Drama,444,Book
14,War,345,Book
15,Sports,58,Book
16,Music,25,Book
0,Drama,33514,Movie
1,Action,28785,Movie
2,Comedy,18865,Movie
3,Adventure,12178,Movie
4,Crime,11769,Movie
5,Romance,8750,Movie
6,Documentary,8458,Movie
7,Thriller,7824,Movie
8,Music,7803,Movie
9,Horror,6736,Movie
10,Animation,4973,Movie
11,Family,4838,Movie
12,Mystery,4419,Movie
13,Biography,4279,Movie
14,History,4265,Movie
15,Sci-Fi,3960,Movie
16,Fantasy,3806,Movie
17,Western,3533,Movie
18,War,3353,Movie
19,Sports,2189,Movie
20,Film-Noir,806,Movie
21,Adult,3,Movie
